2016-08-03 15:22:11 install libkmod2:arm64 <none> 15-0ubuntu6
2016-08-03 15:22:11 status half-installed libkmod2:arm64 15-0ubuntu6
2016-08-03 15:22:11 status unpacked libkmod2:arm64 15-0ubuntu6
2016-08-03 15:22:11 status unpacked libkmod2:arm64 15-0ubuntu6
2016-08-03 15:22:11 install liblzma5:arm64 <none> 5.1.1alpha+20120614-2ubuntu2
2016-08-03 15:22:11 status half-installed liblzma5:arm64 5.1.1alpha+20120614-2ubuntu2
2016-08-03 15:22:11 status unpacked liblzma5:arm64 5.1.1alpha+20120614-2ubuntu2
2016-08-03 15:22:11 status unpacked liblzma5:arm64 5.1.1alpha+20120614-2ubuntu2
2016-08-03 15:22:11 install libmount1:arm64 <none> 2.20.1-5.1ubuntu20
2016-08-03 15:22:11 status half-installed libmount1:arm64 2.20.1-5.1ubuntu20
2016-08-03 15:22:11 status unpacked libmount1:arm64 2.20.1-5.1ubuntu20
2016-08-03 15:22:11 status unpacked libmount1:arm64 2.20.1-5.1ubuntu20
2016-08-03 15:22:11 install libncurses5:arm64 <none> 5.9+20140118-1ubuntu1
2016-08-03 15:22:11 status half-installed libncurses5:arm64 5.9+20140118-1ubuntu1
2016-08-03 15:22:11 status unpacked libncurses5:arm64 5.9+20140118-1ubuntu1
2016-08-03 15:22:11 status unpacked libncurses5:arm64 5.9+20140118-1ubuntu1
2016-08-03 15:22:11 install libncursesw5:arm64 <none> 5.9+20140118-1ubuntu1
2016-08-03 15:22:11 status half-installed libncursesw5:arm64 5.9+20140118-1ubuntu1
2016-08-03 15:22:11 status unpacked libncursesw5:arm64 5.9+20140118-1ubuntu1
2016-08-03 15:22:11 status unpacked libncursesw5:arm64 5.9+20140118-1ubuntu1
2016-08-03 15:22:11 install libnih-dbus1:arm64 <none> 1.0.3-4ubuntu25
2016-08-03 15:22:11 status half-installed libnih-dbus1:arm64 1.0.3-4ubuntu25
2016-08-03 15:22:11 status unpacked libnih-dbus1:arm64 1.0.3-4ubuntu25
2016-08-03 15:22:11 status unpacked libnih-dbus1:arm64 1.0.3-4ubuntu25
2016-08-03 15:22:12 install libnih1:arm64 <none> 1.0.3-4ubuntu25
2016-08-03 15:22:12 status half-installed libnih1:arm64 1.0.3-4ubuntu25
2016-08-03 15:22:12 status unpacked libnih1:arm64 1.0.3-4ubuntu25
2016-08-03 15:22:12 status unpacked libnih1:arm64 1.0.3-4ubuntu25
2016-08-03 15:22:12 install libpam-modules:arm64 <none> 1.1.8-1ubuntu2
2016-08-03 15:22:12 status half-installed libpam-modules:arm64 1.1.8-1ubuntu2
2016-08-03 15:22:12 status unpacked libpam-modules:arm64 1.1.8-1ubuntu2
2016-08-03 15:22:12 status unpacked libpam-modules:arm64 1.1.8-1ubuntu2
2016-08-03 15:22:12 install libpam-modules-bin:arm64 <none> 1.1.8-1ubuntu2
2016-08-03 15:22:12 status half-installed libpam-modules-bin:arm64 1.1.8-1ubuntu2
2016-08-03 15:22:12 status unpacked libpam-modules-bin:arm64 1.1.8-1ubuntu2
2016-08-03 15:22:12 status unpacked libpam-modules-bin:arm64 1.1.8-1ubuntu2
2016-08-03 15:22:12 install libpam-runtime:all <none> 1.1.8-1ubuntu2
2016-08-03 15:22:12 status half-installed libpam-runtime:all 1.1.8-1ubuntu2
2016-08-03 15:22:12 status unpacked libpam-runtime:all 1.1.8-1ubuntu2
2016-08-03 15:22:12 status unpacked libpam-runtime:all 1.1.8-1ubuntu2
2016-08-03 15:22:12 install libpam0g:arm64 <none> 1.1.8-1ubuntu2
2016-08-03 15:22:12 status half-installed libpam0g:arm64 1.1.8-1ubuntu2
2016-08-03 15:22:12 status unpacked libpam0g:arm64 1.1.8-1ubuntu2
2016-08-03 15:22:12 status unpacked libpam0g:arm64 1.1.8-1ubuntu2
2016-08-03 15:22:12 install libpcre3:arm64 <none> 1:8.31-2ubuntu2
2016-08-03 15:22:12 status half-installed libpcre3:arm64 1:8.31-2ubuntu2
2016-08-03 15:22:12 status unpacked libpcre3:arm64 1:8.31-2ubuntu2
2016-08-03 15:22:12 status unpacked libpcre3:arm64 1:8.31-2ubuntu2
2016-08-03 15:22:12 install libplymouth2:arm64 <none> 0.8.8-0ubuntu17
2016-08-03 15:22:12 status half-installed libplymouth2:arm64 0.8.8-0ubuntu17
2016-08-03 15:22:12 status unpacked libplymouth2:arm64 0.8.8-0ubuntu17
2016-08-03 15:22:12 status unpacked libplymouth2:arm64 0.8.8-0ubuntu17
2016-08-03 15:22:12 install libpng12-0:arm64 <none> 1.2.50-1ubuntu2
2016-08-03 15:22:12 status half-installed libpng12-0:arm64 1.2.50-1ubuntu2
2016-08-03 15:22:12 status unpacked libpng12-0:arm64 1.2.50-1ubuntu2
2016-08-03 15:22:12 status unpacked libpng12-0:arm64 1.2.50-1ubuntu2
2016-08-03 15:22:12 install libprocps3:arm64 <none> 1:3.3.9-1ubuntu2
2016-08-03 15:22:12 status half-installed libprocps3:arm64 1:3.3.9-1ubuntu2
2016-08-03 15:22:12 status unpacked libprocps3:arm64 1:3.3.9-1ubuntu2
2016-08-03 15:22:12 status unpacked libprocps3:arm64 1:3.3.9-1ubuntu2
2016-08-03 15:22:12 install libselinux1:arm64 <none> 2.2.2-1
2016-08-03 15:22:12 status half-installed libselinux1:arm64 2.2.2-1
2016-08-03 15:22:12 status unpacked libselinux1:arm64 2.2.2-1
2016-08-03 15:22:12 status unpacked libselinux1:arm64 2.2.2-1
2016-08-03 15:22:12 install libsemanage-common:all <none> 2.2-1
2016-08-03 15:22:12 status half-installed libsemanage-common:all 2.2-1
2016-08-03 15:22:12 status unpacked libsemanage-common:all 2.2-1
2016-08-03 15:22:12 status unpacked libsemanage-common:all 2.2-1
2016-08-03 15:22:12 install libsemanage1:arm64 <none> 2.2-1
2016-08-03 15:22:12 status half-installed libsemanage1:arm64 2.2-1
2016-08-03 15:22:12 status unpacked libsemanage1:arm64 2.2-1
2016-08-03 15:22:12 status unpacked libsemanage1:arm64 2.2-1
2016-08-03 15:22:12 install libsepol1:arm64 <none> 2.2-1
2016-08-03 15:22:12 status half-installed libsepol1:arm64 2.2-1
2016-08-03 15:22:12 status unpacked libsepol1:arm64 2.2-1
